date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:23	33/33	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:08:21%20GMT	https://thebesttools.xyz/robots.txt		(from )
23:06:24	45578/45578	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:08:22%20GMT	https://thebesttools.xyz/	C:/Users/modu/Downloads/Vbuck/Fortnite/thebesttools.xyz/index.html	(from )
23:06:24	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	C:/Users/modu/Downloads/Vbuck/Fortnite/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://thebesttools.xyz/)
23:06:25	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/modu/Downloads/Vbuck/Fortnite/www.google-analytics.com/analytics.js	(from https://thebesttools.xyz/)
23:06:26	718623/718623	---M--	200	added ('OK')	image/jpg	etag:%22d8c386c99e2c29fe108420eeb08f48c5%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1624955746b8669136fc967c0f86b5d4d420d09235.jpg	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/1624955746b8669136fc967c0f86b5d4d420d09235.jpg	(from https://thebesttools.xyz/)
23:06:26	47728/47728	---M--	200	added ('OK')	image/png	etag:%22284a8b536517c6edd40ee118d0f92d55%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16076175376158ce47ad4e157d9b70e0a768509337.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/16076175376158ce47ad4e157d9b70e0a768509337.png	(from https://thebesttools.xyz/)
23:06:26	489653/489653	---M--	200	added ('OK')	image/png	etag:%22d3fd9b8b6dec583efdfa08c7abd102a5%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1618785705fd170a27c59b004122603c2dd1e2bc64.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/1618785705fd170a27c59b004122603c2dd1e2bc64.png	(from https://thebesttools.xyz/)
23:06:26	70215/70215	---M--	200	added ('OK')	image/png	etag:%22466aa0c319116543f85d1538ae6acf29%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1636471537cc9c306f7c389c185189bf3daf7260c1.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/1636471537cc9c306f7c389c185189bf3daf7260c1.png	(from https://thebesttools.xyz/)
23:06:26	3243/3243	---M--	200	added ('OK')	image/png	etag:%229cef201492896812754d64a052077007%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16356530149871f3ad26cacfb5ad62be3af4f83078.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/16356530149871f3ad26cacfb5ad62be3af4f83078.png	(from https://thebesttools.xyz/)
23:06:27	2589/2589	---M--	200	added ('OK')	image/png	etag:%2227aff02d2c5569807d73f61f3d65b706%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16356530079192e6f42956c06c93882dc8f2b524f5.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/16356530079192e6f42956c06c93882dc8f2b524f5.png	(from https://thebesttools.xyz/)
23:06:27	4887/4887	---M--	200	added ('OK')	image/png	etag:%22b01bdc1f31684dc5d6dfdc9cf8542d22%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16356530209e46ef11b612e6f52b6e6b67f322a7af.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/16356530209e46ef11b612e6f52b6e6b67f322a7af.png	(from https://thebesttools.xyz/)
23:06:27	3009/3009	---M--	200	added ('OK')	image/png	etag:%22a8d884f161024bf5473222b1a8f97233%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/163565302671a941e9ac48f19ce1f2ca237332eb50.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/163565302671a941e9ac48f19ce1f2ca237332eb50.png	(from https://thebesttools.xyz/)
23:06:27	49131/49131	---M--	200	added ('OK')	image/png	etag:%228b64575dddf267f9a0549adf587cf046%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1636472786ee1905a53e0b903bb72600a288d20d03.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/1636472786ee1905a53e0b903bb72600a288d20d03.png	(from https://thebesttools.xyz/)
23:06:27	32134/32134	---M--	200	added ('OK')	image/png	etag:%22c3b4ee71b52aa0c1283d5bbee274e005%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16364715366bbcfd0471c3793eb21b30488e7b79ac.png	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/16364715366bbcfd0471c3793eb21b30488e7b79ac.png	(from https://thebesttools.xyz/)
23:06:28	50587/50587	---M--	200	added ('OK')	image/gif	etag:%2231cdfb1e7dda6fc83c12a2ee24119d30%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/163542468278c021e06cc778d4aef36f80e47413a2.gif	C:/Users/modu/Downloads/Vbuck/Fortnite/d13pxqgp3ixdbh.cloudfront.net/uploads/163542468278c021e06cc778d4aef36f80e47413a2.gif	(from https://thebesttools.xyz/)
23:06:28	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/modu/Downloads/Vbuck/Fortnite/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://thebesttools.xyz/)
23:06:29	23438/23438	---MCZ	200	added ('OK')	application/javascript	etag:W/%226863f6e390060c097da580136d1dcaf2%22	https://d12u7tum9sda5e.cloudfront.net/7928f0c.js	C:/Users/modu/Downloads/Vbuck/Fortnite/d12u7tum9sda5e.cloudfront.net/7928f0c.js	(from https://thebesttools.xyz/)
23:06:30	13/13	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:08:28%20GMT	https://thebesttools.xyz/customTemplateGlobal.set	C:/Users/modu/Downloads/Vbuck/Fortnite/thebesttools.xyz/customTemplateGlobal.html	(from https://thebesttools.xyz/)
